t,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26
0.469999998537145,0.0000000000020946049924224925,0.033379438506120816,0.00857566193551422,0.00006419690127019208,0.024978662878156966,0.0000000000000000005428827007674185,0.0010523660376731663,0.000018117845806656107,0.0000032018877954399295,0.00000004695277765688381,0.000020863044249245635,0.000000001162538897603015,0.020019285845147013,0.0008929853797535424,0.19939080929783018,0.004727123925464897,0.00000005859420276908351,0.0000000000000009402650319883325,0.0000000000000000023030189045805435,0.0000000000000005996040941004368,0.0000016717806459224568,0.0000000000011660907432214879,0.00000006430191228465168,0.0000000026178034907823795,0.000000000036192176725895916,0.0000000000010281481377807759,
0.47166666522328854,0.0000000000020852459573481,0.03338156247342646,0.008578574037812746,0.00006413274007868436,0.024978600343201558,0.0000000000000000005399282680313628,0.0010480186096631485,0.000018162745286069658,0.000003219007537436621,0.00000004745297205713678,0.00002092720906438498,0.0000000011620280511929803,0.02003922390233368,0.0008958974780612389,0.19937087122472197,0.004744149922808534,0.00000005863264889329511,0.0000000000000009635900445103861,0.000000000000000002083857679308784,0.0000000000000006099798574121918,0.0000016706652952221557,0.0000000000011656948993995826,0.00000006430590104967955,0.00000000261096848922117,0.000000000035995214561480644,0.000000000001022716670352109,
0.473333331909432,0.000000000002075955431756898,0.033383668242784416,0.008581484320743684,0.0000640686429968238,0.024978537804469934,0.0000000000000000005369980720037704,0.0010437074150917742,0.000018207608232044845,0.000003236162099901016,0.00000004795843974402295,0.000020991309750389017,0.000000001161517809367733,0.02005915996582632,0.000898807757496545,0.19935093514552363,0.004761175745316658,0.000000058671075531888745,0.0000000000000009875260937653923,0.000000000000000001885552402100163,0.000000000000000620592932609448,0.0000016695506201493074,0.0000000000011652995712906443,0.00000006430987226976555,0.0000000026041690866557526,0.00000000003579986817748189,0.0000000000010173283506672465,
0.4749999985955755,0.0000000000020667326904503638,0.033385756039256545,0.00858439278718871,0.00006400460996069082,0.024978475261988115,0.0000000000000000005340918455401749,0.00103943200404866,0.000018252434695685674,0.0000032533513571699496,0.000000048469217755475755,0.000021055346371335514,0.0000000011610081707971184,0.020079094035825414,0.0009017162209494098,0.19933100106003837,0.00477820139029915,0.00000005870948270999292,0.0000000000000010120839792020833,0.0000000000000000017061183670876648,0.0000000000000006314435467664168,0.0000016684366209536846,0.0000000000011649047577277607,0.00000006431382610427905,0.000000002597405005691073,0.000000000035606119764270356,0.0000000000010119827197552325,
0.476666665281719,0.0000000000020575770183173432,0.0333878260841971,0.008587299440023786,0.00006394064090642712,0.024978412715782477,0.00000000000000000053120932522078,0.0010351919340364044,0.000018297224728603837,0.0000032705751833540614,0.000000048985343223407804,0.000021119318991238083,0.0000000011604991341550071,0.02009902611253008,0.0009046228713013929,0.19931106896806944,0.004795226855071909,0.00000005874787045266088,0.0000000000000010372749796784706,0.000000000000000001543759738139394,0.0000000000000006425322794860259,0.000001667323297876109,0.0000000000011645104575475593,0.00000006431776271088306,0.0000000025906759718067734,0.00000000003541395176052789,0.0000000000010066793247902955,
0.4783333319678625,0.0000000000020484877101588973,0.033389878595329964,0.008590204282112676,0.0000638767357702357,0.02497835016587974,0.0000000000000000005283502512868188,0.001030986769818403,0.000018341978382909546,0.00000328783345233849,0.00000004950685337276342,0.000021183227674047723,0.0000000011599906981203173,0.020118956196139463,0.0009075277114273946,0.1992911388694473,0.004812252136962201,0.00000005878623878491955,0.000000000000001063110840216896,0.0000000000000000013968515755258961,0.0000000000000006538600348035007,0.0000016662106511486715,0.000000000001164116669591075,0.00000006432168224556655,0.0000000025839817133198377,0.000000000035223346849004734,0.0000000000010014177189920443,
0.479999998654006,0.000000000002039464070514347,0.033391913786822096,0.008593107316332973,0.00006381289448838299,0.024978287612306988,0.0000000000000000005255143675784881,0.0010268160832706433,0.000018386695711206814,0.0000033051260377834528,0.000000050033785520565946,0.000021247072483648256,0.0000000011594828613732798,0.020138884286852808,0.0009104307441886632,0.19927121076399482,0.0048292772332859625,0.00000005882458773159187,0.000000000000001089603760319971,0.0000000000000000012639235729783283,0.0000000000000006654280158053824,0.000001665098680994804,0.0000000000011637233927002096,0.00000006432558486265769,0.000000002577321961348157,0.00000000003503428795238256,0.0000000000009961974615276028,
0.4816666653401495,0.0000000000020305054134726083,0.03339393186935605,0.00859600854557407,0.00006374911699719721,0.02497822505509167,0.0000000000000000005227014214740898,0.0010226794532368858,0.00001843137676658546,0.000003322452813124866,0.00000005056617707495142,0.00002131085348386335,0.0000000011589756225953826,0.020158810384870208,0.0009133319724327535,0.1992512846514707,0.004846302141346373,0.00000005886291731731306,0.0000000000000011167663837215884,0.0000000000000000011436453423684016,0.0000000000000006772377017060029,0.0000016639873876294873,0.0000000000011633306257180047,0.00000006432947071485269,0.000000002570696449774255,0.000000000034846758229216223,0.0000000000009910181174154318,
0.48333333202629297,0.0000000000020216110625809624,0.03339593305019964,0.00859890797262082,0.00006368540323306785,0.024978162494261612,0.0000000000000000005199111638304044,0.0010185764653876904,0.000018476021602615063,0.0000033398136515750226,0.00000005110406553419856,0.000021374570738451528,0.000000001158468980485673,0.02017873449038943,0.0009162313990270415,0.19923136053167817,0.004863326858545869,0.00000005890122756731857,0.0000000000000011446117894573816,0.0000000000000000010348130987375315,0.0000000000000006892908271476629,0.0000016628767712593472,0.0000000000011629383675043736,0.00000006433333995323457,0.0000000025641049152103784,0.000000000034660741069959254,0.0000000000009858792574315914,
0.4849999987124365,0.0000000000020127803506179274,0.03339791753327642,0.0086018056003138,0.00006362175313244891,0.024978099929845017,0.0000000000000000005171433489242527,0.0010145067120824278,0.000018520630273338727,0.000003357208426123349,0.00000005164748848575701,0.00002143822431110821,0.0000000011579629337388585,0.02019865660361058,0.0009191290268140682,0.1992114384044205,0.004880351382239136,0.00000005893951850636076,0.0000000000000011731534841507125,0.0000000000000000009363376124114365,0.0000000000000007015893635133132,0.0000016617668320828139,0.000000000001162546616914383,0.0000000643371927272893,0.000000002557547096963045,0.000000000034476220093067773,0.000000000000980780458017043,
